,New York,California,Hawaii,Massachusetts,Virginia,New Hampshire
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.02570223518460193,0.0025308624118668293,0.0,0.014508517442792551,0.0,0.0
9,0.11308983481224852,0.005061724823733659,0.0,0.11606813954234041,0.0,0.0
10,0.3598312925844271,0.012654312059334146,0.07062785336527595,0.3191873837414361,0.0,0.0735450400857241
11,0.5603087270243222,0.015185174471200975,0.07062785336527595,0.6964088372540426,0.011715749212203733,0.0735450400857241
12,0.41637620999055136,0.025308624118668292,0.0,1.1171558430950266,0.011715749212203733,0.1470900801714482
13,0.3032863751783028,0.02277776170680146,0.07062785336527595,1.2767495349657445,0.011715749212203733,0.1470900801714482
14,0.2621627988829397,0.02277776170680146,0.0,1.0591217733238565,0.011715749212203733,0.2941801603428964
15,0.16963475221837276,0.02277776170680146,0.0,0.9285451163387233,0.023431498424407466,0.2941801603428964
16,0.11308983481224852,0.02277776170680146,0.0,0.7834599419107979,0.011715749212203733,0.2941801603428964
17,0.07196625851688541,0.017716036883067804,0.0,0.4932895930549468,0.023431498424407466,0.2206351202571723
18,0.05654491740612426,0.020246899294934635,0.0,0.6238662500400798,0.011715749212203733,0.2941801603428964
19,0.04626402333228348,0.020246899294934635,0.0,0.3191873837414361,0.011715749212203733,0.2941801603428964
20,0.03084268222152232,0.017716036883067804,0.0,0.2901703488558511,0.011715749212203733,0.2206351202571723
21,0.02570223518460193,0.020246899294934635,0.0,0.21762776164188832,0.011715749212203733,0.1470900801714482
22,0.06682581147996502,0.020246899294934635,0.0,0.14508517442792554,0.011715749212203733,0.2206351202571723
23,0.01542134111076116,0.02277776170680146,0.0,0.17410220931351064,0.011715749212203733,0.0735450400857241
24,0.01542134111076116,0.02783948653053512,0.0,0.130576656985133,0.011715749212203733,0.0735450400857241
25,0.010280894073840773,0.03037034894240195,0.07062785336527595,0.10155962209954787,0.0,0.0735450400857241
26,0.010280894073840773,0.037962936178002435,0.0,0.11606813954234041,0.011715749212203733,0.0735450400857241
27,0.005140447036920386,0.043024661001736096,0.0,0.08705110465675532,0.011715749212203733,0.0735450400857241
28,0.005140447036920386,0.04049379858986927,0.1412557067305519,0.10155962209954787,0.011715749212203733,0.0
29,0.005140447036920386,0.037962936178002435,0.07062785336527595,0.130576656985133,0.0,0.0735450400857241
30,0.005140447036920386,0.037962936178002435,0.1412557067305519,0.11606813954234041,0.011715749212203733,0.0
31,0.005140447036920386,0.03290121135426878,0.35313926682637975,0.08705110465675532,0.011715749212203733,0.0
32,0.005140447036920386,0.03037034894240195,0.21188356009582787,0.08705110465675532,0.0,0.0
33,0.005140447036920386,0.03037034894240195,0.1412557067305519,0.10155962209954787,0.011715749212203733,0.0
34,0.0,0.025308624118668292,0.2825114134611038,0.08705110465675532,0.023431498424407466,0.0
35,0.005140447036920386,0.025308624118668292,0.21188356009582787,0.130576656985133,0.011715749212203733,0.0
36,0.010280894073840773,0.020246899294934635,0.35313926682637975,0.10155962209954787,0.011715749212203733,0.0735450400857241
37,0.005140447036920386,0.017716036883067804,0.2825114134611038,0.08705110465675532,0.011715749212203733,0.0735450400857241
38,0.005140447036920386,0.017716036883067804,0.2825114134611038,0.14508517442792554,0.011715749212203733,0.0735450400857241
39,0.010280894073840773,0.015185174471200975,0.1412557067305519,0.14508517442792554,0.011715749212203733,0.0735450400857241
40,0.010280894073840773,0.012654312059334146,0.07062785336527595,0.14508517442792554,0.0,0.0735450400857241
41,0.01542134111076116,0.012654312059334146,0.07062785336527595,0.15959369187071806,0.011715749212203733,0.0
42,0.01542134111076116,0.015185174471200975,0.0,0.1886107267563032,0.011715749212203733,0.1470900801714482
43,0.020561788147681545,0.02277776170680146,0.1412557067305519,0.20311924419909574,0.011715749212203733,0.0735450400857241
44,0.03084268222152232,0.020246899294934635,0.1412557067305519,0.23213627908468082,0.011715749212203733,0.1470900801714482
45,0.04112357629536309,0.04555552341360292,0.2825114134611038,0.3482044186270213,0.011715749212203733,0.2206351202571723
46,0.06168536444304464,0.0607406978848039,0.07062785336527595,0.3627129360698138,0.023431498424407466,0.4412702405143446
47,0.04112357629536309,0.06327156029667073,0.0,0.21762776164188832,0.023431498424407466,0.2206351202571723
48,0.09252804666456696,0.07339500994413804,0.0,0.6383747674828723,0.023431498424407466,0.5883603206857928
49,0.10794938777532813,0.10882708371027366,0.42376712019165574,0.522306627940532,0.023431498424407466,0.5148152806000688
50,0.10794938777532813,0.15944433194761023,0.1412557067305519,0.5368151453833244,0.023431498424407466,0.5148152806000688
51,0.11308983481224852,0.14679001988827609,0.1412557067305519,0.4932895930549468,0.023431498424407466,0.4412702405143446
